series,minutes_outside_nominal,mean_hz,std_hz,delta_vs_measured_minutes
measured,147.9,50.000073672407204,0.03611599344607356,0.0
roundtrip,147.9,50.000073672407204,0.036115993446073684,0.0
counterfactual,170.3,49.999962187588594,0.03719898804630791,22.400000000000006
