frequency_hz,period_s,amplitude
0.0,inf,0.013271235
0.0002777777777777778,3600.0,0.019210804
0.0005555555555555556,1800.0,0.0077370913
0.0008333333333333333,1200.0,0.004388847
0.0011111111111111111,900.0,0.003603622
0.001388888888888889,720.0,0.002726805
0.0016666666666666666,600.0,0.0021710347
0.0019444444444444444,514.2857142857143,0.0021365236
0.0022222222222222222,450.0,0.0022053383
0.0025,400.0,0.0018851197
0.002777777777777778,360.0,0.0016507055
0.0030555555555555557,327.27272727272725,0.001812282
0.003333333333333333,300.0,0.002088947
0.003611111111111111,276.92307692307696,0.0016813518
0.0038888888888888888,257.14285714285717,0.0016796797
0.004166666666666667,240.0,0.0017421286
0.0044444444444444444,225.0,0.0018647432
0.004722222222222222,211.76470588235293,0.0017568377
0.005,200.0,0.001755241
0.005277777777777778,189.4736842105263,0.0017695434
0.005555555555555556,180.0,0.0018624183
0.005833333333333334,171.42857142857142,0.001730147
0.006111111111111111,163.63636363636363,0.0016765308
0.006388888888888889,156.52173913043478,0.0016551614
0.006666666666666666,150.0,0.0017333946
0.006944444444444444,144.0,0.0015990038
0.007222222222222222,138.46153846153848,0.0015469806
0.0075,133.33333333333334,0.0017151646
0.0077777777777777776,128.57142857142858,0.0017131758
0.008055555555555555,124.13793103448276,0.0017046793
0.008333333333333333,120.0,0.0016945131
0.008611111111111111,116.12903225806451,0.0017505268
0.008888888888888889,112.5,0.0016978417
0.009166666666666667,109.0909090909091,0.0016308308
0.009444444444444445,105.88235294117646,0.0015970593
0.009722222222222222,102.85714285714286,0.0017329471
0.01,100.0,0.0018499296
0.010277777777777778,97.29729729729729,0.0018909001
0.010555555555555556,94.73684210526315,0.0018370239
0.010833333333333334,92.3076923076923,0.0017651875
0.011111111111111112,90.0,0.0018037211
0.01138888888888889,87.80487804878048,0.0018337322
0.011666666666666667,85.71428571428571,0.0017025524
0.011944444444444445,83.72093023255813,0.0018238605
0.012222222222222223,81.81818181818181,0.0017589347
0.0125,80.0,0.001626791
0.012777777777777779,78.26086956521739,0.0016520377
0.013055555555555556,76.59574468085106,0.0016205412
0.013333333333333332,75.0,0.0016082746
0.01361111111111111,73.46938775510205,0.0015686457
0.013888888888888888,72.0,0.0015233496
0.014166666666666666,70.58823529411765,0.0014536873
0.014444444444444444,69.23076923076924,0.0014465388
0.014722222222222222,67.9245283018868,0.0014367257
0.015,66.66666666666667,0.001376032
0.015277777777777777,65.45454545454545,0.0014337454
0.015555555555555555,64.28571428571429,0.0014616878
0.015833333333333335,63.1578947368421,0.0014185857
0.01611111111111111,62.06896551724138,0.0014253758
0.01638888888888889,61.01694915254237,0.0014800782
0.016666666666666666,60.0,0.0017765239
0.016944444444444446,59.01639344262295,0.0014408362
0.017222222222222222,58.064516129032256,0.0011887945
0.0175,57.14285714285714,0.001164249
0.017777777777777778,56.25,0.0011509658
0.018055555555555554,55.38461538461539,0.0011058706
0.018333333333333333,54.54545454545455,0.0010964555
0.01861111111111111,53.73134328358209,0.0010742303
0.01888888888888889,52.94117647058823,0.0010960678
0.019166666666666665,52.173913043478265,0.0010870693
0.019444444444444445,51.42857142857143,0.0010318438
0.01972222222222222,50.70422535211268,0.001014155
0.02,50.0,0.0009920647
0.020277777777777777,49.31506849315069,0.00095715997
0.020555555555555556,48.648648648648646,0.0009802592
0.020833333333333332,48.0,0.00093886926
0.021111111111111112,47.368421052631575,0.0008954574
0.021388888888888888,46.753246753246756,0.00088836264
0.021666666666666667,46.15384615384615,0.00089176145
0.021944444444444444,45.56962025316456,0.0008969861
0.022222222222222223,45.0,0.0008949905
0.0225,44.44444444444444,0.0008038076
0.02277777777777778,43.90243902439024,0.000752193
0.023055555555555555,43.373493975903614,0.00076617446
0.023333333333333334,42.857142857142854,0.000742752
0.02361111111111111,42.35294117647059,0.00072936586
0.02388888888888889,41.860465116279066,0.00073743216
0.024166666666666666,41.37931034482759,0.00071876426
0.024444444444444446,40.90909090909091,0.00069891795
0.024722222222222222,40.449438202247194,0.0006507597
0.025,40.0,0.0006517475
0.025277777777777777,39.56043956043956,0.00063886517
0.025555555555555557,39.130434782608695,0.00060272316
0.025833333333333333,38.70967741935484,0.000579636
0.026111111111111113,38.29787234042553,0.0006099263
0.02638888888888889,37.89473684210526,0.00060895854
0.026666666666666665,37.5,0.0005840783
0.026944444444444444,37.11340206185567,0.00059077155
0.02722222222222222,36.734693877551024,0.00057815434
0.0275,36.36363636363637,0.00055924617
0.027777777777777776,36.0,0.0005350427
0.028055555555555556,35.64356435643565,0.00051777286
0.028333333333333332,35.294117647058826,0.0005296238
0.02861111111111111,34.95145631067961,0.0005086593
0.028888888888888888,34.61538461538462,0.0005066788
0.029166666666666667,34.285714285714285,0.000487362
0.029444444444444443,33.9622641509434,0.0004679016
0.029722222222222223,33.64485981308411,0.00045370986
0.03,33.333333333333336,0.00045300307
0.03027777777777778,33.027522935779814,0.0004722419
0.030555555555555555,32.72727272727273,0.00046229264
0.030833333333333334,32.432432432432435,0.00044099783
0.03111111111111111,32.142857142857146,0.0004455654
0.03138888888888889,31.858407079646017,0.00044231405
0.03166666666666667,31.57894736842105,0.00043766657
0.03194444444444444,31.30434782608696,0.00043305763
0.03222222222222222,31.03448275862069,0.0004246424
0.0325,30.769230769230766,0.0004022779
0.03277777777777778,30.508474576271183,0.00038849423
0.03305555555555555,30.252100840336137,0.00039209827
0.03333333333333333,30.0,0.00038212622
0.03361111111111111,29.75206611570248,0.00035975367
0.03388888888888889,29.508196721311474,0.00036156457
0.034166666666666665,29.26829268292683,0.00034606364
0.034444444444444444,29.032258064516128,0.00034044735
0.034722222222222224,28.799999999999997,0.00033848494
0.035,28.57142857142857,0.00032454016
0.035277777777777776,28.34645669291339,0.00033198192
0.035555555555555556,28.125,0.0003304504
0.035833333333333335,27.906976744186046,0.0003271166
0.03611111111111111,27.692307692307693,0.00033111763
0.03638888888888889,27.480916030534353,0.00031294054
0.03666666666666667,27.272727272727273,0.00029382907
0.036944444444444446,27.06766917293233,0.00028387664
0.03722222222222222,26.865671641791046,0.00027944034
0.0375,26.666666666666668,0.00028235652
0.03777777777777778,26.470588235294116,0.00028220352
0.03805555555555556,26.27737226277372,0.00027870233
0.03833333333333333,26.086956521739133,0.00026409098
0.03861111111111111,25.89928057553957,0.00025252797
0.03888888888888889,25.714285714285715,0.000249701
0.03916666666666667,25.53191489361702,0.00024745523
0.03944444444444444,25.35211267605634,0.0002446202
0.03972222222222222,25.174825174825177,0.00023780456
0.04,25.0,0.00024759053
