year,week,week_label,minutes_measured,minutes_counterfactual,cum_measured,cum_counterfactual,cum_delta_cf_minus_measured
2025,1,2025-W01,149.71666666666667,200.15,149.71666666666667,200.15,50.43333333333334
2025,2,2025-W02,111.91666666666667,210.86666666666667,261.6333333333333,411.01666666666665,149.38333333333333
2025,3,2025-W03,256.23333333333335,267.75,517.8666666666667,678.7666666666667,160.89999999999998
2025,4,2025-W04,88.28333333333333,145.26666666666668,606.15,824.0333333333333,217.88333333333333
2025,5,2025-W05,139.81666666666666,201.16666666666666,745.9666666666667,1025.2,279.23333333333335
2025,6,2025-W06,52.15,131.5,798.1166666666667,1156.7,358.58333333333337
2025,7,2025-W07,45.983333333333334,125.1,844.1,1281.8,437.69999999999993
2025,8,2025-W08,142.18333333333334,180.83333333333334,986.2833333333333,1462.6333333333332,476.3499999999999
2025,9,2025-W09,94.95,178.35,1081.2333333333333,1640.9833333333331,559.7499999999998
2025,10,2025-W10,86.51666666666667,145.63333333333333,1167.75,1786.6166666666663,618.8666666666663
2025,11,2025-W11,39.56666666666667,141.61666666666667,1207.3166666666666,1928.2333333333331,720.9166666666665
2025,12,2025-W12,117.4,188.11666666666667,1324.7166666666667,2116.35,791.6333333333332
2025,14,2025-W14,101.3,169.4,1426.0166666666667,2285.75,859.7333333333333
2025,15,2025-W15,147.9,170.3,1573.9166666666667,2456.05,882.1333333333334
2025,16,2025-W16,80.41666666666667,178.1,1654.3333333333335,2634.15,979.8166666666666
2025,17,2025-W17,72.83333333333333,181.06666666666666,1727.1666666666667,2815.2166666666667,1088.05
2025,18,2025-W18,227.01666666666668,229.11666666666667,1954.1833333333334,3044.3333333333335,1090.15
2025,19,2025-W19,61.21666666666667,164.33333333333334,2015.4,3208.666666666667,1193.2666666666669
2025,20,2025-W20,298.1166666666667,205.71666666666667,2313.516666666667,3414.3833333333337,1100.8666666666668
2025,23,2025-W23,184.16666666666666,204.4,2497.6833333333334,3618.7833333333338,1121.1000000000004
2025,24,2025-W24,95.45,182.13333333333333,2593.133333333333,3800.916666666667,1207.7833333333338
2025,25,2025-W25,193.36666666666667,210.58333333333334,2786.5,4011.5000000000005,1225.0000000000005
2025,26,2025-W26,143.11666666666667,217.8,2929.616666666667,4229.3,1299.6833333333334
2025,27,2025-W27,68.46666666666667,161.41666666666666,2998.0833333333335,4390.716666666667,1392.6333333333337
2025,28,2025-W28,42.516666666666666,122.43333333333334,3040.6000000000004,4513.150000000001,1472.5500000000002
2025,29,2025-W29,30.683333333333334,153.11666666666667,3071.2833333333338,4666.266666666667,1594.9833333333336
2025,30,2025-W30,50.233333333333334,172.78333333333333,3121.516666666667,4839.050000000001,1717.5333333333342
2025,31,2025-W31,66.93333333333334,160.7,3188.4500000000003,4999.750000000001,1811.3000000000006
2025,34,2025-W34,202.43333333333334,208.31666666666666,3390.8833333333337,5208.0666666666675,1817.1833333333338
2025,35,2025-W35,105.76666666666667,196.75,3496.6500000000005,5404.8166666666675,1908.166666666667
2025,36,2025-W36,108.88333333333334,202.2,3605.5333333333338,5607.016666666667,2001.4833333333336
2025,38,2025-W38,131.98333333333332,191.41666666666666,3737.516666666667,5798.433333333334,2060.9166666666674
2025,39,2025-W39,51.6,146.95,3789.116666666667,5945.383333333334,2156.2666666666673
2025,40,2025-W40,86.33333333333333,171.01666666666668,3875.4500000000003,6116.400000000001,2240.9500000000003
2025,41,2025-W41,60.11666666666667,174.95,3935.566666666667,6291.35,2355.7833333333333
2025,42,2025-W42,62.63333333333333,182.35,3998.2000000000003,6473.700000000001,2475.5000000000005
2025,44,2025-W44,21.283333333333335,131.58333333333334,4019.4833333333336,6605.283333333334,2585.8
2025,45,2025-W45,46.85,149.5,4066.3333333333335,6754.783333333334,2688.4500000000003
2025,46,2025-W46,45.36666666666667,150.5,4111.7,6905.283333333334,2793.583333333334
2025,47,2025-W47,56.0,142.4,4167.7,7047.683333333333,2879.9833333333336
2025,48,2025-W48,47.05,145.9,4214.75,7193.583333333333,2978.833333333333
2025,49,2025-W49,19.966666666666665,165.13333333333333,4234.716666666666,7358.716666666666,3124.0
2025,50,2025-W50,8.3,117.73333333333333,4243.016666666666,7476.45,3233.4333333333334
2025,51,2025-W51,34.4,141.2,4277.416666666666,7617.65,3340.2333333333336
2025,52,2025-W52,73.58333333333333,182.98333333333332,4350.999999999999,7800.633333333333,3449.633333333334
