year,week,week_label,minutes_measured,minutes_counterfactual_primary_only,delta_counterfactual_primary_only,minutes_counterfactual_balancing_only,delta_counterfactual_balancing_only,minutes_counterfactual_both,delta_counterfactual_both,cum_minutes_measured,cum_minutes_counterfactual_primary_only,cum_minutes_counterfactual_balancing_only,cum_minutes_counterfactual_both
2025,1,2025-W01,149.71666666666667,179.4,29.683333333333337,167.76666666666668,18.05000000000001,200.15,50.43333333333334,149.71666666666667,179.4,167.76666666666668,200.15
2025,2,2025-W02,111.91666666666667,148.88333333333333,36.966666666666654,171.26666666666668,59.35000000000001,210.86666666666667,98.95,261.6333333333333,328.2833333333333,339.03333333333336,411.01666666666665
2025,3,2025-W03,256.23333333333335,288.71666666666664,32.48333333333329,237.56666666666666,-18.666666666666686,267.75,11.516666666666652,517.8666666666667,617.0,576.6,678.7666666666667
2025,4,2025-W04,88.28333333333333,108.2,19.91666666666667,123.55,35.266666666666666,145.26666666666668,56.98333333333335,606.15,725.2,700.15,824.0333333333333
2025,5,2025-W05,139.81666666666666,158.3,18.48333333333335,177.73333333333332,37.91666666666666,201.16666666666666,61.349999999999994,745.9666666666667,883.5,877.8833333333333,1025.2
2025,6,2025-W06,52.15,75.9,23.750000000000007,100.05,47.9,131.5,79.35,798.1166666666667,959.4,977.9333333333333,1156.7
2025,7,2025-W07,45.983333333333334,66.11666666666666,20.133333333333326,98.71666666666667,52.733333333333334,125.1,79.11666666666666,844.1,1025.5166666666667,1076.6499999999999,1281.8
2025,8,2025-W08,142.18333333333334,169.4,27.21666666666667,152.71666666666667,10.533333333333331,180.83333333333334,38.650000000000006,986.2833333333333,1194.9166666666667,1229.3666666666666,1462.6333333333332
2025,9,2025-W09,94.95,118.9,23.950000000000003,150.93333333333334,55.983333333333334,178.35,83.39999999999999,1081.2333333333333,1313.8166666666668,1380.3,1640.9833333333331
2025,10,2025-W10,86.51666666666667,102.71666666666667,16.200000000000003,126.5,39.983333333333334,145.63333333333333,59.11666666666666,1167.75,1416.5333333333335,1506.8,1786.6166666666663
2025,11,2025-W11,39.56666666666667,54.75,15.18333333333333,119.05,79.48333333333332,141.61666666666667,102.05000000000001,1207.3166666666666,1471.2833333333335,1625.85,1928.2333333333331
2025,12,2025-W12,117.4,142.36666666666667,24.96666666666667,166.38333333333333,48.98333333333332,188.11666666666667,70.71666666666667,1324.7166666666667,1613.65,1792.2333333333331,2116.35
2025,14,2025-W14,101.3,118.88333333333334,17.583333333333343,150.31666666666666,49.016666666666666,169.4,68.10000000000001,1426.0166666666667,1732.5333333333335,1942.5499999999997,2285.75
2025,15,2025-W15,147.9,176.51666666666668,28.616666666666674,144.38333333333333,-3.51666666666668,170.3,22.400000000000006,1573.9166666666667,1909.0500000000002,2086.933333333333,2456.05
2025,16,2025-W16,80.41666666666667,101.86666666666666,21.44999999999999,160.5,80.08333333333333,178.1,97.68333333333332,1654.3333333333335,2010.9166666666667,2247.433333333333,2634.15
2025,17,2025-W17,72.83333333333333,100.06666666666666,27.233333333333334,149.43333333333334,76.60000000000001,181.06666666666666,108.23333333333333,1727.1666666666667,2110.9833333333336,2396.8666666666663,2815.2166666666667
2025,18,2025-W18,227.01666666666668,256.68333333333334,29.666666666666657,199.33333333333334,-27.683333333333337,229.11666666666667,2.0999999999999943,1954.1833333333334,2367.666666666667,2596.2,3044.3333333333335
