year,week,observed_rows,filled_rows,longest_synthetic_streak_seconds,status
2018,51,604708,92,21,saved
2018,52,604498,302,11,saved
2019,1,604569,231,28,saved
2019,2,604027,773,180,saved
2019,3,604491,309,27,saved
2019,4,604051,749,12,saved
2019,5,604706,94,23,saved
2019,6,604433,367,23,saved
2019,7,604018,782,190,saved
2019,8,604249,551,11,saved
2019,9,604477,323,12,saved
2019,10,604549,251,12,saved
2019,11,604159,641,266,saved
2019,12,604315,485,15,saved
2019,13,601011,3789,3600,skipped_quality
2019,14,604519,281,14,saved
2019,15,604448,352,184,saved
2019,16,604600,200,11,saved
2019,17,604617,183,11,saved
2019,18,466557,138243,137513,skipped_quality
2019,19,296510,308290,308125,skipped_quality
2019,20,604367,433,186,saved
2019,21,604519,281,14,saved
2019,22,604316,484,20,saved
2019,23,604354,446,16,saved
2019,24,603887,913,183,saved
2019,25,604246,554,11,saved
2019,26,604408,392,15,saved
2019,27,604075,725,12,saved
2019,28,604361,439,191,saved
2019,29,604537,263,11,saved
2019,30,604090,710,12,saved
2019,31,604301,499,12,saved
2019,32,604607,193,12,saved
2019,33,604569,231,121,saved
2019,34,604228,572,11,saved
2019,35,604417,383,11,saved
2019,36,604365,435,12,saved
2019,37,603998,802,196,saved
2019,38,604042,758,12,saved
2019,39,604476,324,17,saved
2019,40,603878,922,106,saved
2019,41,604404,396,122,saved
2019,42,604331,469,22,saved
2019,43,604561,3839,3600,skipped_quality
2019,44,603765,1035,22,saved
2019,45,603803,997,17,saved
2019,46,604052,748,124,saved
2019,47,603966,834,22,saved
2019,48,604003,797,36,saved
2019,49,604524,276,21,saved
2019,50,604227,573,122,saved
2019,51,604044,756,12,saved
2019,52,604138,662,12,saved
2020,1,604637,163,11,saved
2020,2,603690,1110,15,saved
2020,3,604382,418,195,saved
2020,4,604268,532,12,saved
2020,5,604346,454,11,saved
2020,6,604445,355,12,saved
2020,7,604328,472,12,saved
2020,8,603522,1278,14,saved
2020,9,603613,1187,12,saved
2020,10,603669,1131,23,saved
2020,11,603967,833,12,saved
2020,12,603946,854,127,saved
2020,13,600627,4173,3600,skipped_quality
2020,14,604437,363,12,saved
2020,15,603275,1525,12,saved
2020,16,604204,596,205,saved
2020,17,604180,620,12,saved
2020,18,603647,1153,12,saved
2020,19,602827,1973,19,saved
2020,20,603381,1419,212,saved
2020,21,603398,1402,23,saved
2020,22,603721,1079,13,saved
2020,23,603306,1494,14,saved
2020,24,603446,1354,135,saved
2020,25,603969,831,13,saved
2020,26,603798,1002,32,saved
2020,27,603787,1013,12,saved
2020,28,603909,891,13,saved
2020,29,603985,815,184,saved
2020,30,603893,907,22,saved
2020,31,604529,271,12,saved
2020,32,193849,410951,410801,skipped_quality
2020,33,560201,44599,43579,skipped_quality
2020,34,603708,1092,132,saved
2020,35,604293,507,12,saved
2020,36,534261,70539,47747,skipped_quality
2020,37,603574,1226,257,saved
2020,38,604118,682,15,saved
2020,39,603711,1089,13,saved
2020,40,604063,737,12,saved
2020,41,604034,766,12,saved
2020,42,565153,39647,14600,skipped_quality
2020,43,603611,4789,3600,skipped_quality
2020,44,604314,486,17,saved
2020,45,537747,67053,2039,skipped_quality
2020,46,601810,2990,1130,saved
2020,47,604460,340,12,saved
2020,48,604082,718,19,saved
2020,49,604439,361,13,saved
2020,50,604215,585,125,saved
2020,51,603736,1064,12,saved
2020,52,604442,358,12,saved
2020,53,604083,717,11,saved
2021,1,604635,165,11,saved
2021,2,600276,4524,3657,skipped_quality
2021,3,604728,72,12,saved
2021,4,604776,24,11,saved
2021,5,604708,92,11,saved
2021,6,604629,171,138,saved
2021,7,604748,52,11,saved
2021,8,604579,221,31,saved
2021,9,604662,138,22,saved
2021,10,604504,296,139,saved
2021,11,604650,150,12,saved
2021,12,601002,3798,3600,skipped_quality
2021,13,604752,48,21,saved
