week,year,iso_week,fast_sub_primary_5s_to_30s,primary_local_control_30s_to_2m,midrange_2m_to_15m,balancing_15m_to_2h,slow_over_2h_to_12h
2015-W02,2015,2,0.23424994766901922,3.672352978133488,6.660814688453866,29.39881121258161,90044.247385865
2015-W03,2015,3,0.23684907734303218,3.4400057373325397,6.504802984167648,29.639367942548905,90040.71132155719
2015-W04,2015,4,0.2068049925753246,3.0250521589457726,6.006136372870803,27.59427538069499,90034.8940111422
2015-W05,2015,5,0.23000003181923453,3.3635532817170604,6.72415366029558,26.327784576867163,90031.65491805514
2015-W06,2015,6,0.23058362220038892,3.289619601102077,6.294509603907202,28.046554983687937,90046.89993248567
2015-W07,2015,7,0.25008811663386726,3.4984879239615045,6.323874900260068,29.28427083817981,90036.87565482965
2015-W08,2015,8,0.2606672170034999,3.6797626425095906,6.848611599111901,28.632230969582217,90040.38923740099
2015-W09,2015,9,0.2597891348064742,3.721373214067624,7.111029584205318,27.822679179834022,90037.41593020159
2015-W10,2015,10,0.26188928541748113,3.751606152179127,7.486961355118406,30.86848149384508,90048.65783866694
2015-W11,2015,11,0.2681294259337938,3.8273794147599505,7.252775830654377,28.901131738616154,90040.07707299273
2015-W12,2015,12,0.26140013756993197,3.690499692483454,6.938103550126989,28.201130083186126,90040.95868129082
