week,year,iso_week,fast_sub_primary_5s_to_30s,primary_local_control_30s_to_2m,midrange_2m_to_15m,balancing_15m_to_2h,slow_over_2h_to_12h
2015-W02,2015,2,6.518551357903494e-05,0.0010291476183516483,0.001894854537037037,0.008735091075000001,
2015-W03,2015,3,6.623270866888518e-05,0.0009623413774725274,0.0018479909407407404,0.0088929635,
2015-W04,2015,4,5.760085121464226e-05,0.0008454988867032965,0.0016955635925925926,0.00838721155,
2015-W05,2015,5,6.417104501996672e-05,0.0009410986995604394,0.001909514614814815,0.008096606225,
2015-W06,2015,6,6.442731731447587e-05,0.0009181298442857144,0.001791717959259259,0.0085036145,
2015-W07,2015,7,6.962679098086523e-05,0.0009778079926373627,0.001803001651851852,0.00899181065,
2015-W08,2015,8,7.283025620715474e-05,0.0010306056705494506,0.0019586320851851854,0.00855570825,
2015-W09,2015,9,7.239086404742096e-05,0.0010397376697802198,0.0020060593962962963,0.0081988428,
2015-W10,2015,10,7.282471742096505e-05,0.0010504957229670328,0.0021179237111111113,0.0087294682,
2015-W11,2015,11,7.45525313469218e-05,0.001069220931098901,0.00205432472962963,0.0087199383,
2015-W12,2015,12,7.290892966139767e-05,0.0010317785668131868,0.001962523022222222,0.0083744172,
2015-W14,2015,14,7.094911134026622e-05,0.0010313885802197803,0.001974981981481482,0.008460741524999999,
2015-W15,2015,15,8.139771595507487e-05,0.0011267639805494505,0.002150924003703704,0.009138900775,
2015-W16,2015,16,7.963005442096506e-05,0.001132503023076923,0.0020770428703703707,0.008267357525,
2015-W17,2015,17,8.645826326455907e-05,0.0011973934814285716,0.002206248714814815,0.008466213025,
2015-W18,2015,18,8.342468919134776e-05,0.0012163866887912088,0.0022185099185185186,0.008773598175,
2015-W20,2015,20,9.67635672828619e-05,0.001265302313846154,0.002070254214814815,0.00880950135,
2015-W21,2015,21,9.448373347088186e-05,0.0012059560189010988,0.002078490192592593,0.008722153324999999,
2015-W22,2015,22,0.00010052831526455906,0.0011946770225274726,0.0020541272555555552,0.008086768,
2015-W23,2015,23,0.00010301692160066555,0.0013381261975824175,0.0021440628666666663,0.008612193800000001,
2015-W24,2015,24,9.963516128119801e-05,0.001333604907142857,0.0021181125925925927,0.0082971931,
2015-W25,2015,25,9.287922888186355e-05,0.001250807364065934,0.002053343785185185,0.008206875224999998,
2015-W26,2015,26,9.385669779034942e-05,0.0012671571431868132,0.0020570235444444442,0.008309557075,
