period_s,amplitude
inf,359976.5814776534
14400.0,180003.69650984684
7200.0,72.73159507981832
4800.0,58.684110477424895
3600.0,55.36434021500158
2880.0,39.65696588853261
2400.0,29.779270815460016
2057.1428571428573,27.738807646239714
1800.0,25.96781206078968
1600.0,21.38734925656671
1440.0,18.18025975230344
1309.090909090909,18.075871185244537
1200.0,18.690880185221246
1107.6923076923078,15.51515730515313
1028.571428571429,13.192574214739182
960.0,15.062065485482421
900.0,17.706067185930934
847.0588235294117,13.64283176161664
800.0,10.58668269392106
757.8947368421052,10.959525061906248
720.0,11.688417780344286
685.7142857142857,9.963449706896169
654.5454545454545,8.884873851428729
626.0869565217391,9.061359502379233
600.0,9.72403302593956
576.0,8.679926664244247
553.8461538461539,8.023148374749564
533.3333333333334,8.29112544317069
514.2857142857143,8.886237411462934
496.5517241379311,8.02189954817175
480.0,7.471113153108957
464.5161290322581,8.316710973859864
450.0,9.524837877076335
436.3636363636364,8.064749913321194
423.52941176470586,6.985608137093942
411.4285714285714,7.045646570351235
400.0,7.424636715476955
389.1891891891892,6.91253053031048
378.9473684210526,6.600283279583458
369.2307692307692,6.727449713604769
360.0,7.006935286382379
351.2195121951219,6.626191579748669
342.85714285714283,6.401405084416468
334.8837209302325,6.726815626337124
327.27272727272725,7.277209327572559
320.0,6.697019190524424
313.0434782608696,6.391496687121901
306.3829787234042,8.026839732911103
300.0,10.40374792259617
293.8775510204082,7.871792408782255
288.0,6.327027104139485
282.3529411764706,6.5060865165771915
276.92307692307696,6.899934332150392
271.6981132075472,6.485232332159938
266.6666666666667,6.254583774079241
261.8181818181818,6.3828979559386125
257.1428571428572,6.702142699003207
252.6315789473684,6.4718880324470245
248.27586206896552,6.314199908901817
244.06779661016947,6.390257268925188
240.0,6.6516097159491325
236.0655737704918,6.496669479298274
232.25806451612905,6.442679364731171
228.57142857142856,7.087383233853382
225.0,8.25853064392918
221.53846153846155,7.174126540286623
218.1818181818182,6.521085499645062
214.9253731343284,6.622153933546126
211.76470588235293,6.7867520400117165
208.69565217391303,6.556731992357659
205.7142857142857,6.4785485071244935
202.81690140845072,6.659571677456239
200.0,7.043160338338315
197.2602739726028,6.692543578231316
194.59459459459453,6.531224044875062
192.0,6.6381279973288745
189.4736842105263,6.8091259545005824
187.01298701298705,6.700054531897329
184.6153846153846,6.667164838384331
182.27848101265823,7.881632922591512
180.0,10.176506600338083
177.77777777777777,7.831247769679822
175.60975609756096,6.689592044013478
173.49397590361446,6.721460773779586
171.42857142857142,6.801475678069841
169.41176470588235,6.621721955145853
167.44186046511626,6.5675860802581205
165.51724137931035,6.588621510251374
163.63636363636363,6.733061783222787
161.79775280898878,6.554095831976355
160.0,6.476903485600183
158.24175824175825,6.514443997501593
156.52173913043478,6.668395639813203
154.83870967741936,6.558009554816704
153.1914893617021,6.477660822375113
151.57894736842104,6.879291371635403
150.0,7.702944298043073
148.4536082474227,6.896645353111011
146.9387755102041,6.334316899648711
145.45454545454547,6.327018423768435
144.0,6.385015616371234
142.5742574257426,6.2705642797266625
141.1764705882353,6.232226591712063
139.80582524271844,6.356375404948995
138.46153846153848,6.605909909098773
137.14285714285714,6.358232196452588
135.8490566037736,6.229688522477374
134.57943925233644,6.312175947335301
133.33333333333334,6.450228164179197
132.11009174311926,6.394526064798282
130.9090909090909,6.375854870161283
129.72972972972974,6.659279970589473
128.57142857142858,7.2366941724501785
127.43362831858408,6.743715656826632
126.3157894736842,6.475202175085687
125.21739130434784,6.5592097767827955
124.13793103448276,6.591797714018248
123.07692307692308,6.485939306736496
122.03389830508472,6.437640099560191
121.00840336134456,6.74752850276472
