scenario,cutoff_week,baseline_stat,clip_min,clip_max,minutes_2025_unmodified,minutes_2025_modified_all,minutes_2025_modified_low_high,minutes_2025_modified_low,delta_all_vs_unmodified,delta_low_high_vs_unmodified,delta_low_vs_unmodified,component_low,component_high,component_remaining
base_mean_cutoff_2024W22,2024-W22,mean,,,4430.833333333334,12595.483333333334,6182.616666666667,5284.2,8164.65,1751.7833333333328,853.3666666666659,853.3666666666659,898.416666666667,6412.866666666667
cutoff_early_2024W18,2024-W18,mean,,,4430.833333333334,12577.199999999999,6155.966666666667,5268.983333333333,8146.366666666665,1725.1333333333332,838.1499999999987,838.1499999999987,886.9833333333345,6421.233333333332
cutoff_late_2024W26,2024-W26,mean,,,4430.833333333334,12585.499999999996,6206.783333333333,5300.466666666668,8154.666666666662,1775.949999999999,869.6333333333341,869.6333333333341,906.3166666666648,6378.7166666666635
median_cutoff_2024W22,2024-W22,median,,,4430.833333333334,12600.216666666667,6116.4833333333345,5248.95,8169.383333333333,1685.6500000000005,818.1166666666659,818.1166666666659,867.5333333333347,6483.733333333333
clip_0.8_1.2,2024-W22,mean,0.8,1.2,4430.833333333334,6555.783333333335,5220.8,4702.899999999999,2124.9500000000007,789.9666666666662,272.0666666666648,272.0666666666648,517.9000000000015,1334.9833333333345
clip_0.6_1.4,2024-W22,mean,0.6,1.4,4430.833333333334,8674.083333333336,5892.499999999998,5119.299999999999,4243.250000000002,1461.6666666666642,688.4666666666653,688.4666666666653,773.1999999999989,2781.5833333333376
median_clip_0.8_1.2,2024-W22,median,0.8,1.2,4430.833333333334,6520.650000000001,5185.0166666666655,4685.083333333333,2089.8166666666666,754.1833333333316,254.2499999999991,254.2499999999991,499.9333333333325,1335.633333333335
