year,week,minutes_outside_nominal
2025,1,195.93333333333334
2025,2,162.08333333333334
2025,3,289.3
2025,4,116.61666666666666
2025,5,173.43333333333334
2025,6,88.35
2025,7,76.41666666666667
2025,8,175.81666666666666
2025,9,127.31666666666666
2025,10,91.11666666666666
2025,11,59.266666666666666
2025,12,129.8
2025,14,107.21666666666667
2025,15,152.81666666666666
2025,16,97.65
2025,17,98.31666666666666
2025,18,238.66666666666666
2025,19,80.18333333333334
2025,20,295.98333333333335
2025,23,182.91666666666666
2025,24,102.48333333333333
2025,25,200.63333333333333
2025,26,147.51666666666668
2025,27,91.53333333333333
2025,28,64.63333333333334
2025,29,49.65
2025,30,63.31666666666667
2025,31,88.83333333333333
2025,34,208.88333333333333
2025,35,118.46666666666667
2025,36,116.26666666666667
2025,38,142.81666666666666
2025,39,69.11666666666666
2025,40,97.03333333333333
2025,41,76.21666666666667
2025,42,79.43333333333334
2025,43,88.3
2025,44,30.833333333333332
2025,45,62.233333333333334
2025,46,65.43333333333334
2025,47,88.6
2025,48,70.55
2025,49,36.833333333333336
2025,50,21.433333333333334
2025,51,49.733333333333334
2025,52,114.21666666666667
