year,week,minutes_outside_nominal
2025,1,198.96666666666667
2025,2,195.8
2025,3,244.2
2025,4,133.2
2025,5,193.13333333333333
2025,6,116.53333333333333
2025,7,114.48333333333333
2025,8,168.91666666666666
2025,9,150.81666666666666
2025,10,106.0
2025,11,96.36666666666666
2025,12,115.66666666666667
2025,14,110.56666666666666
2025,15,113.36666666666666
2025,16,127.16666666666667
2025,17,125.13333333333334
2025,18,176.08333333333334
2025,19,119.15
2025,20,159.13333333333333
2025,23,150.71666666666667
2025,24,119.73333333333333
2025,25,164.96666666666667
2025,26,139.7
2025,27,118.06666666666666
2025,28,97.5
2025,29,103.98333333333333
2025,30,112.66666666666667
2025,31,109.55
2025,34,144.61666666666667
2025,35,150.08333333333334
2025,36,154.6
2025,38,161.31666666666666
2025,39,113.4
2025,40,130.2
2025,41,131.28333333333333
2025,42,134.75
2025,43,133.46666666666667
2025,44,87.31666666666666
2025,45,113.55
2025,46,115.53333333333333
2025,47,138.0
2025,48,117.08333333333333
2025,49,119.23333333333333
2025,50,87.38333333333334
2025,51,101.45
2025,52,167.78333333333333
