week,year,iso_week,fast_sub_primary_5s_to_30s,primary_local_control_30s_to_2m,midrange_2m_to_15m,balancing_15m_to_2h,slow_over_2h_to_12h
2015-W02,2015,2,0.003152399630598212,0.01415004442909887,0.012879358702165321,0.021779759491558963,0.02951903116235813
2015-W03,2015,3,0.003144731435256215,0.01299577699937261,0.012321397885289125,0.023496384042325527,0.0325599809804121
2015-W04,2015,4,0.002721870178954152,0.011599966849589416,0.011497937367451605,0.021540764435300376,0.02716365607555979
2015-W05,2015,5,0.003092148533929173,0.012808035774366244,0.012885714905725739,0.0195299579287813,0.027994512361267123
2015-W06,2015,6,0.0030842746644652915,0.012523778104726027,0.012039170020239373,0.02145202468446908,0.029395919960604196
2015-W07,2015,7,0.003394444793696438,0.013150724974136233,0.01199820058802867,0.022407916963450545,0.03219556748728244
2015-W08,2015,8,0.0035474935649638167,0.013864935698905843,0.013075494495466895,0.02170871986456094,0.027789561368208364
2015-W09,2015,9,0.0035003566839637906,0.014009128157064094,0.013524297201985707,0.021351033382090573,0.027514293972853446
2015-W10,2015,10,0.003493346961465078,0.014218250927511777,0.014306334947946801,0.02259981769309401,0.027345806543625006
2015-W11,2015,11,0.0036627873214596066,0.014467547924586394,0.013793798026132785,0.021762931196713745,0.030403612738354412
2015-W12,2015,12,0.003568934847570035,0.013915633071360674,0.01307881394607381,0.02142852151645162,0.028141350371216043
2015-W14,2015,14,0.003501552869927826,0.01395561094318298,0.01314386480838753,0.020823248703362204,0.030238357988445905
2015-W15,2015,15,0.003950619118616451,0.015190885331171489,0.014341532409589216,0.02435881643274969,0.030211432569763545
2015-W16,2015,16,0.003857446366800909,0.015276852203867014,0.0138800181016379,0.02020202464006031,0.02730031758818785
2015-W17,2015,17,0.004232785651868993,0.016002646078083518,0.014732073571466048,0.022790111222777406,0.026023355047045147
2015-W18,2015,18,0.004103093482783461,0.016519757278921444,0.014812668388314817,0.023035361566900725,0.029566535470926462
2015-W20,2015,20,0.0047965594376073424,0.016798781149781276,0.013750793064625084,0.023385543606285697,0.027867960033373388
2015-W21,2015,21,0.004720817799311893,0.015958273976529595,0.014043624669504456,0.02308918270705233,0.031144453984728593
2015-W22,2015,22,0.004955334760582318,0.015605341035528771,0.013720379863839933,0.021327703630942114,0.02561183407004035
2015-W23,2015,23,0.005187604575317238,0.01772034325989315,0.014242046695318374,0.021792097892334817,0.028615568308883475
2015-W24,2015,24,0.004944670033762702,0.017810413131637032,0.014157824093236798,0.020728386133210534,0.027227907432043997
2015-W25,2015,25,0.004669797626715962,0.016710658550905134,0.013750584489122154,0.021419200641206275,0.024714291694761567
2015-W26,2015,26,0.0046713972741702385,0.01671512573997255,0.013732846858975759,0.020812934715465595,0.027179230982300923
