week,year,iso_week,balancing_15m_to_2h__current_rms,balancing_15m_to_2h__baseline_rms,balancing_15m_to_2h__scale,fast_sub_primary_5s_to_30s__current_rms,fast_sub_primary_5s_to_30s__baseline_rms,fast_sub_primary_5s_to_30s__scale,midrange_2m_to_15m__current_rms,midrange_2m_to_15m__baseline_rms,midrange_2m_to_15m__scale,primary_local_control_30s_to_2m__current_rms,primary_local_control_30s_to_2m__baseline_rms,primary_local_control_30s_to_2m__scale,slow_over_2h_to_12h__current_rms,slow_over_2h_to_12h__baseline_rms,slow_over_2h_to_12h__scale
2025-W01,2025,1,0.022242061630263637,0.02251508978837148,1.01227530804682,0.0028944930236585753,0.0038474104685488454,1.3292173921655557,0.011559001129526278,0.013943671628876152,1.2063042016025485,0.01173574104251744,0.017715540381247646,1.5095374307481717,0.019884293053821566,0.024931985694296464,1.253853261305902
2025-W02,2025,2,0.02028418666439781,0.02251508978837148,1.1099823799141666,0.002755250951582105,0.0038474104685488454,1.3963920296768635,0.011705183541704765,0.013943671628876152,1.1912390420189318,0.011722909789160584,0.017715540381247646,1.5111896875320203,0.01938988208101639,0.024931985694296464,1.2858245135335844
2025-W03,2025,3,0.02527440015922712,0.02251508978837148,0.8908258809913526,0.0033210932294572156,0.0038474104685488454,1.1584771045941546,0.014098251603049396,0.013943671628876152,0.9890355216713674,0.013327651279710145,0.017715540381247646,1.3292319861502957,0.022201952069616643,0.024931985694296464,1.1229636752714132
2025-W04,2025,4,0.021228386296585914,0.02251508978837148,1.0606124023658126,0.0030699747037966373,0.0038474104685488454,1.2532384920927047,0.012383083192052682,0.013943671628876152,1.126025838042099,0.01281234803426513,0.017715540381247646,1.3826927221981091,0.016769822918577655,0.024931985694296464,1.486717290656465
2025-W05,2025,5,0.02080399377887797,0.02251508978837148,1.082248438818068,0.0028543829493281555,0.0038474104685488454,1.3478956877367916,0.011571215646598153,0.013943671628876152,1.205030832951029,0.01239876079176332,0.017715540381247646,1.4288154016985586,0.020180037746647783,0.024931985694296464,1.2354776540711898
2025-W06,2025,6,0.02032598595579125,0.02251508978837148,1.1076997611501604,0.0030119767389772787,0.0038474104685488454,1.2773705781855538,0.012144577257924439,0.013943671628876152,1.1481397279413565,0.012833536408377692,0.017715540381247646,1.3804098743728188,0.015355891567400578,0.024931985694296464,1.6236104289265252
2025-W07,2025,7,0.018942068842463414,0.02251508978837148,1.1886288649684473,0.002740182820336868,0.0038474104685488454,1.4040707211192058,0.011818550036151317,0.013943671628876152,1.1798123785256551,0.012315489433531175,0.017715540381247646,1.438476357505845,0.014636340725444407,0.024931985694296464,1.70343026047171
2025-W08,2025,8,0.02294879387891125,0.02251508978837148,0.9811012250653259,0.003031163545443203,0.0038474104685488454,1.2692850157599445,0.013232397775638697,0.013943671628876152,1.053752454037237,0.013671079239181106,0.017715540381247646,1.2958406627089964,0.020259560058901428,0.024931985694296464,1.2306281884606924
2025-W09,2025,9,0.021074110451634605,0.02251508978837148,1.0683767573508711,0.0032244466690025566,0.0038474104685488454,1.1932002180513641,0.012824518311322159,0.013943671628876152,1.0872666941857727,0.01327903333264248,0.017715540381247646,1.334098645396074,0.015884045690605354,0.024931985694296464,1.5696244004789366
2025-W10,2025,10,0.02109332149034451,0.02251508978837148,1.0674037182184792,0.0036952837116057922,0.0038474104685488454,1.041167815197861,0.01555578001682883,0.013943671628876152,0.8963659561777912,0.01357336314124414,0.017715540381247646,1.3051695587084862,0.012138691464998993,0.024931985694296464,2.0539269629009005
