year,week,minutes_outside_nominal
2025,1,265.3
2025,2,275.4
2025,3,296.98333333333335
2025,4,242.11666666666667
2025,5,264.51666666666665
2025,6,248.5
2025,7,233.78333333333333
2025,8,243.81666666666666
2025,9,280.6166666666667
2025,10,282.8666666666667
2025,11,290.7
2025,12,270.85
2025,14,249.21666666666667
2025,15,273.45
2025,16,292.5
2025,17,291.28333333333336
2025,18,273.3666666666667
2025,19,264.3833333333333
2025,20,274.28333333333336
2025,23,287.3
2025,24,296.96666666666664
2025,25,266.6666666666667
2025,26,313.71666666666664
2025,27,272.4
2025,28,264.98333333333335
2025,29,300.95
2025,30,249.81666666666666
2025,31,263.71666666666664
2025,34,307.3833333333333
2025,35,262.78333333333336
2025,36,305.3833333333333
2025,38,284.5833333333333
2025,39,264.6333333333333
2025,40,283.03333333333336
2025,41,319.1333333333333
2025,42,295.71666666666664
2025,43,286.3333333333333
2025,44,240.51666666666668
2025,45,243.75
2025,46,257.1333333333333
2025,47,228.56666666666666
2025,48,278.6666666666667
2025,49,295.3833333333333
2025,50,268.26666666666665
2025,51,265.8666666666667
2025,52,277.9
